com_name,sci_name_bw,sci_name_elton,sci_name_botw,nocturnal,cavity
Brubru,Nilaus afer,Nilaus afer,Nilaus afer,0,
Hadada Ibis,Bostrychia hagedash,Bostrychia hagedash,Bostrychia hagedash,0,
Northern Gray-headed Sparrow,Passer griseus,Passer griseus,Passer griseus,0,
Red-cheeked Cordonbleu,Uraeginthus bengalus,Uraeginthus bengalus,Uraeginthus bengalus,0,
Red-eyed Dove,Streptopelia semitorquata,Streptopelia semitorquata,Streptopelia semitorquata,0,
White-browed Robin-Chat,Cossypha heuglini,Cossypha heuglini,Cossypha heuglini,0,
African Wood-Owl,Strix woodfordii,Strix woodfordii,Strix woodfordii,1,
Black-headed Gonolek,Laniarius erythrogaster,Laniarius erythrogaster,Laniarius erythrogaster,0,
Long-tailed Nightjar,Caprimulgus climacurus,Caprimulgus climacurus,Caprimulgus climacurus,1,
Pied Crow,Corvus albus,Corvus albus,Corvus albus,0,
Red-chested Cuckoo,Cuculus solitarius,Cuculus solitarius,Cuculus solitarius,0,
Wattled Lapwing,Vanellus senegallus,Vanellus senegallus,Vanellus senegallus,0,
Cape Sparrow,Passer melanurus,Passer melanurus,Passer melanurus,0,
Crowned Lapwing,Vanellus coronatus,Vanellus coronatus,Vanellus coronatus,0,
Red-winged Starling,Onychognathus morio,Onychognathus morio,Onychognathus morio,0,
Small Buttonquail,Turnix sylvaticus,Turnix sylvaticus,Turnix sylvaticus,0,
Southern Gray-headed Sparrow,Passer diffusus,Passer diffusus,Passer diffusus,0,
Speckled Pigeon,Columba guinea,Columba guinea,Columba guinea,0,
Helmeted Guineafowl,Numida meleagris,Numida meleagris,Numida meleagris,0,
Southern Masked-Weaver,Ploceus velatus,Ploceus velatus,Ploceus velatus,0,
Black-collared Barbet,Lybius torquatus,Lybius torquatus,Lybius torquatus,0,
Gray-headed Bushshrike,Malaconotus blanchoti,Malaconotus blanchoti,Malaconotus blanchoti,0,
Gray Go-away-bird,Corythaixoides concolor,Corythaixoides concolor,Corythaixoides concolor,0,
Spotted Thick-knee,Burhinus capensis,Burhinus capensis,Burhinus capensis,0,
Green Woodhoopoe,Phoeniculus purpureus,Phoeniculus purpureus,Phoeniculus purpureus,0,
Red-faced Mousebird,Urocolius indicus,Urocolius indicus,Urocolius indicus,0,
Speckled Mousebird,Colius striatus,Colius striatus,Colius striatus,0,
Spotted Eagle-Owl,Bubo africanus,Bubo africanus,Bubo africanus,1,
Common House-Martin,Delichon urbicum,Delichon urbicum,Delichon urbicum,0,
White-starred Robin,Pogonocichla stellata,Pogonocichla stellata,Pogonocichla stellata,0,
Common Myna,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,0,1
Crested Barbet,Trachyphonus vaillantii,Trachyphonus vaillantii,Trachyphonus vaillantii,0,
Egyptian Goose,Alopochen aegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca,0,
African Thrush,Turdus pelios,Turdus pelios,Turdus pelios,0,
Great White Pelican,Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanus onocrotalus,0,
Klaas's Cuckoo,Chrysococcyx klaas,Chrysococcyx klaas,Chrysococcyx klaas,0,
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,Pogoniulus chrysoconus,Pogoniulus chrysoconus,0,
African Paradise-Flycatcher,Terpsiphone viridis,Terpsiphone viridis,Terpsiphone viridis,0,
African Scops-Owl,Otus senegalensis,Otus senegalensis,Otus senegalensis,1,
Fan-tailed Raven,Corvus rhipidurus,Corvus rhipidurus,Corvus rhipidurus,0,
Pin-tailed Whydah,Vidua macroura,Vidua macroura,Vidua macroura,0,
Striped Kingfisher,Halcyon chelicuti,Halcyon chelicuti,Halcyon chelicuti,0,
Verreaux's Eagle-Owl,Bubo lacteus,Bubo lacteus,Bubo lacteus,1,
Village Weaver,Ploceus cucullatus,Ploceus cucullatus,Ploceus cucullatus,0,
Abyssinian Nightjar,Caprimulgus poliocephalus,Caprimulgus poliocephalus,Caprimulgus poliocephalus,1,
Blue-spotted Wood-Dove,Turtur afer,Turtur afer,Turtur afer,0,
African Palm-Swift,Cypsiurus parvus,Cypsiurus parvus,Cypsiurus parvus,0,
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus,Plocepasser superciliosus,Plocepasser superciliosus,0,
Lesser Blue-eared Starling,Lamprotornis chloropterus,Lamprotornis chloropterus,Lamprotornis chloropterus,0,
Vinaceous Dove,Streptopelia vinacea,Streptopelia vinacea,Streptopelia vinacea,0,
Freckled Nightjar,Caprimulgus tristigma,Caprimulgus tristigma,Caprimulgus tristigma,1,
Hairy-breasted Barbet,Tricholaema hirsuta,Tricholaema hirsuta,Tricholaema hirsuta,0,
Northern Puffback,Dryoscopus gambensis,Dryoscopus gambensis,Dryoscopus gambensis,0,
RÃ¼ppell's Starling,Lamprotornis purpuroptera,Lamprotornis purpuroptera,Lamprotornis purpuroptera,0,
Common Bulbul,Pycnonotus barbatus,Pycnonotus barbatus,Pycnonotus barbatus,0,
Eurasian Hoopoe,Upupa epops,Upupa epops,Upupa epops,0,
Brown-hooded Kingfisher,Halcyon albiventris,Halcyon albiventris,Halcyon albiventris,0,
European Bee-eater,Merops apiaster,Merops apiaster,Merops apiaster,0,
African Black-headed Oriole,Oriolus larvatus,Oriolus larvatus,Oriolus larvatus,0,
