com_name,sci_name_bw,cavity
Hadada Ibis,Bostrychia hagedash,0
Red-eyed Dove,Streptopelia semitorquata,0
White-browed Robin-Chat,Cossypha heuglini,0
Red-chested Cuckoo,Cuculus solitarius,0
Crowned Lapwing,Vanellus coronatus,0
Southern Gray-headed Sparrow,Passer diffusus,1
Helmeted Guineafowl,Numida meleagris,0
Southern Masked-Weaver,Ploceus velatus,0
Gray Go-away-bird,Corythaixoides concolor,0
Common House-Martin,Delichon urbicum,1
Crested Barbet,Trachyphonus vaillantii,1
Egyptian Goose,Alopochen aegyptiaca,0
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,0
Fan-tailed Raven,Corvus rhipidurus,0
Eurasian Hoopoe,Upupa epops,1
Brown-hooded Kingfisher,Halcyon albiventris,1
European Bee-eater,Merops apiaster,1
Ring-necked Dove,Streptopelia capicola,0
Black Phoebe,Sayornis nigricans,0
Great Kiskadee,Pitangus sulphuratus,0
Ruddy Ground Dove,Columbina talpacoti,0
Saffron Finch,Sicalis flaveola,0
Tropical Kingbird,Tyrannus melancholicus,0
Black-crowned Night-Heron,Nycticorax nycticorax,0
Broad-winged Hawk,Buteo platypterus,0
House Wren,Troglodytes aedon,1
Osprey,Pandion haliaetus,0
Summer Tanager,Piranga rubra,0
Eastern Wood-Pewee,Contopus virens,0
American Kestrel,Falco sparverius,1
American Redstart,Setophaga ruticilla,0
Black-bellied Whistling-Duck,Dendrocygna autumnalis,1
Boat-billed Flycatcher,Megarynchus pitangua,0
Zebra Dove,Geopelia striata,0
Asian Koel,Eudynamys scolopaceus,0
Common Tailorbird,Orthotomus sutorius,0
Plaintive Cuckoo,Cacomantis merulinus,0
Red-wattled Lapwing,Vanellus indicus,0
White-throated Kingfisher,Halcyon smyrnensis,1
Eurasian Tree Sparrow,Passer montanus,1
Taiga Flycatcher,Ficedula albicilla,1
Yellow-browed Warbler,Phylloscopus inornatus,0
Scaly-breasted Munia,Lonchura punctulata,0
Rock Pigeon,Columba livia,0
House Sparrow,Passer domesticus,1
Light-vented Bulbul,Pycnonotus sinensis,0
Eurasian Jay,Garrulus glandarius,0
White Wagtail,Motacilla alba,0
Common Sandpiper,Actitis hypoleucos,0
Gray Heron,Ardea cinerea,0
Ring-necked Pheasant,Phasianus colchicus,0
Common Kingfisher,Alcedo atthis,1
Gray Wagtail,Motacilla cinerea,0
Mallard,Anas platyrhynchos,0
Eurasian Collared-Dove,Streptopelia decaocto,0
Black Redstart,Phoenicurus ochruros,0
Common Chiffchaff,Phylloscopus collybita,0
Common Swift,Apus apus,1
Eurasian Jackdaw,Corvus monedula,0
Eurasian Magpie,Pica pica,0
European Serin,Serinus serinus,0
Eurasian Green Woodpecker,Picus viridis,1
