ESIDNumber,Latitude,Longitude,eclipse_type,coverage,FirstContactDate,FirstContactTimeUTC,SecondContactTimeUTC,ThirdContactTimeUTC,FourthContactTimeUTC,TotalEclipseTimeUTC
0,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
1,34.53804,-93.03621,Total,100,4/8/2024,17:31:56,18:49:24,18:53:05,20:10:10,18:51:15
2,41.2124,-81.5759,Total,100,4/8/2024,17:59:07,19:13:53,19:17:12,20:28:57,19:15:32
3,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
4,29.4195767,-99.6087549,Total,100,4/8/2024,17:12:47,18:30:12,18:34:31,19:53:48,18:32:21
5,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
6,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
7,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
8,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
9,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
10,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
11,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
12,37.464196,-89.77532,Total,100,4/8/2024,17:41:40,18:58:01,19:02:09,20:17:09,19:00:05
13,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
14,45.515893,-122.587539,Partial,22.32,4/8/2024,17:33:39,0,0,19:19:51,18:25:50
15,34.51126,-93.06024,Total,100,4/8/2024,17:31:51,18:49:20,18:53:00,20:10:06,18:51:10
16,33.709684,-95.4926622,Total,100,4/8/2024,17:26:48,18:44:04,18:48:04,20:05:37,18:46:04
17,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
18,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
19,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
20,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
21,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
22,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
23,33.2436226,-97.1486084,Partial,99.89,4/8/2024,17:23:35,0,0,20:02:31,18:42:41
24,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
25,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
26,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
27,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
28,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
29,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
30,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
31,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
32,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
33,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
34,34.0027,-118.25613,Partial,48.89,4/8/2024,17:05:58,0,0,19:21:58,18:12:08
35,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
36,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
37,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
38,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
39,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
40,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
41,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
42,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
43,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
44,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
45,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
46,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
47,41.67554,-81.21315,Total,100,4/8/2024,18:00:10,19:14:27,19:18:13,20:29:27,19:16:20
48,0,0,None,0,4/8/2024,NaN:NaN,0,0,NaN:NaN,19:50:44
