com,sci,pnoct
Abert's Towhee,Melozone aberti,0.16317991631799164
Acadian Flycatcher,Empidonax virescens,0.1111111111111111
Acorn Woodpecker,Melanerpes formicivorus,0.13520852189653973
Alder Flycatcher,Empidonax alnorum,0
Allen's Hummingbird,Selasphorus sasin,0.15434314429289303
American Avocet,Recurvirostra americana,0.45454545454545453
American Bittern,Botaurus lentiginosus,0.5714285714285714
American Black Duck,Anas rubripes,0.5333333333333333
American Bullfrog,Lithobates catesbeianus,0
American Coot,Fulica americana,0.23076923076923078
American Crow,Corvus brachyrhynchos,0.13098610042955489
American Dipper,Cinclus mexicanus,0.09523809523809523
American Goldfinch,Spinus tristis,0.007380258604989983
American Kestrel,Falco sparverius,0.16326530612244897
American Oystercatcher,Haematopus palliatus,0
American Pipit,Anthus rubescens,0.17543859649122806
American Redstart,Setophaga ruticilla,0
American Robin,Turdus migratorius,0.6035644373329702
American Three-toed Woodpecker,Picoides dorsalis,0
American Tree Sparrow,Spizelloides arborea,0.06083068596305448
American Wigeon,Mareca americana,0.504424778761062
American Woodcock,Scolopax minor,0.9219808202849867
Anhinga,Anhinga anhinga,0
Anna's Hummingbird,Calypte anna,0.2962979869448122
Antillean Nighthawk,Chordeiles gundlachii,1
Arctic Tern,Sterna paradisaea,0
Ash-throated Flycatcher,Myiarchus cinerascens,0.4056372549019608
Bachman's Sparrow,Peucaea aestivalis,0.11794871794871795
Bahama Mockingbird,Mimus gundlachii,0.6
Baird's Sandpiper,Calidris bairdii,0
Bald Eagle,Haliaeetus leucocephalus,0.3961267605633803
Baltimore Oriole,Icterus galbula,0.25
Bananaquit,Coereba flaveola,0.05263157894736842
Band-tailed Pigeon,Patagioenas fasciata,0.2926829268292683
Banded Wren,Thryophilus pleurostictus,0.1891891891891892
Bank Swallow,Riparia riparia,0
Bare-throated Tiger-Heron,Tigrisoma mexicanum,0.9767441860465116
Barn Owl,Tyto alba,0.8682795698924731
Barn Swallow,Hirundo rustica,0.3367094305649336
Barred Antshrike,Thamnophilus doliatus,0
Barred Owl,Strix varia,0.8568960100534088
Bay Wren,Cantorchilus nigricapillus,0.1111111111111111
Bell's Sparrow,Artemisiospiza belli,0.3684210526315789
Bell's Vireo,Vireo bellii,0.025906735751295335
Belted Kingfisher,Megaceryle alcyon,0.11847014925373134
Bewick's Wren,Thryomanes bewickii,0.20932813342211232
Bird-voiced Treefrog,Dryophytes avivoca,1
Black Catbird,Melanoptila glabrirostris,0
Black Oystercatcher,Haematopus bachmani,0.5
Black Phoebe,Sayornis nigricans,0.2788871590062953
Black Redstart,Phoenicurus ochruros,0.06666666666666667
Black Scoter,Melanitta americana,0.7352941176470589
Black Skimmer,Rynchops niger,1
Black Tern,Chlidonias niger,0
Black Vulture,Coragyps atratus,0
Black-and-white Warbler,Mniotilta varia,0.040563702151971054
Black-backed Woodpecker,Picoides arcticus,0
Black-bellied Plover,Pluvialis squatarola,0.2857142857142857
Black-bellied Whistling-Duck,Dendrocygna autumnalis,0.5779987569919205
Black-billed Cuckoo,Coccyzus erythropthalmus,0
Black-billed Magpie,Pica hudsonia,0.19459699692073268
Black-capped Chickadee,Poecile atricapillus,0.10282176054958796
Black-capped Gnatcatcher,Polioptila nigriceps,0
Black-capped Vireo,Vireo atricapilla,0
Black-chested Jay,Cyanocorax affinis,0.3
Black-chinned Hummingbird,Archilochus alexandri,0.18207681365576103
Black-chinned Sparrow,Spizella atrogularis,1
Black-crested Titmouse,Baeolophus atricristatus,0.058092802338326636
Black-crowned Antshrike,Thamnophilus atrinucha,0
Black-crowned Night-Heron,Nycticorax nycticorax,0.6730769230769231
Black-faced Grassquit,Melanospiza bicolor,0
Black-headed Grosbeak,Pheucticus melanocephalus,0.2425531914893617
Black-headed Saltator,Saltator atriceps,0.003472222222222222
Black-headed Trogon,Trogon melanocephalus,0.015151515151515152
Black-legged Kittiwake,Rissa tridactyla,0
Black-necked Stilt,Himantopus mexicanus,0.5845070422535211
Black-tailed Gnatcatcher,Polioptila melanura,0
Black-throated Blue Warbler,Setophaga caerulescens,0.5
Black-throated Gray Warbler,Setophaga nigrescens,0.07718120805369127
Black-throated Green Warbler,Setophaga virens,0.0031036623215394167
Black-throated Sparrow,Amphispiza bilineata,0.24410540915395285
Black-vented Oriole,Icterus wagleri,1
Black-whiskered Vireo,Vireo altiloquus,0
Blackpoll Warbler,Setophaga striata,0.32786885245901637
Blue Grosbeak,Passerina caerulea,0
Blue Ground Dove,Claravis pretiosa,1
Blue Jay,Cyanocitta cristata,0.030604646094047987
Blue-gray Gnatcatcher,Polioptila caerulea,0.03486587686452643
