family_jetz,species_jetz,cd1,family_ritland,genus_ritland,species_ritland
Acanthisittidae,Acanthisitta chloris,3.25,Xenicidae,Acanthisitta,chloris
Acanthisittidae,Xenicus gilviventris,3.75,Xenicidae,Xenicus,gilviventris
Acanthizidae,Acanthiza chrysorrhoa,3.4,Muscicapidae,Acanthiza,chrysorrhoa
Acanthizidae,Acanthiza pusilla,4,Muscicapidae,Acanthiza,pusilla
Acanthizidae,Aphelocephala nigricincta,3.7,Muscicapidae,Aphelocephala,nigricincta
Acanthizidae,Calamanthus fuliginosus,4.1,Muscicapidae,Calamanthus,fuliginosus
Acanthizidae,Chthonicola sagittatus,3.3,Muscicapidae,Chthonicola,sagittata
Acanthizidae,Crateroscelis murina,4.2,Muscicapidae,Crateroscelis,murina
Acanthizidae,Gerygone flavolateralis,3.5,Muscicapidae,Gerygone,flavolateralis
Acanthizidae,Gerygone fusca,3.2,Muscicapidae,Gerygone,fusca
Acanthizidae,Gerygone tenebrosa,3.4,Muscicapidae,Gerygone,tenebrosa
Acanthizidae,Hylacola cauta,4.1,Muscicapidae,Hylacola,cauta
Acanthizidae,Oreoscopus gutturalis,4.2,Muscicapidae,Oreoscopus,gutturalis
Acanthizidae,Origma solitaria,4.1,Muscicapidae,Origma,solitaria
Acanthizidae,Pycnoptilus floccosus,4.4,Muscicapidae,Pycnoptilus,floccosus
Acanthizidae,Pyrrholaemus brunneus,3.5,Muscicapidae,Pyrrholaemus,brunneus
Acanthizidae,Sericornis nouhuysi,4.3,Muscicapidae,Sericornis,nouhuysi
Acanthizidae,Sericornis papuensis,3.8,Muscicapidae,Sericornis,papuensis
Acanthizidae,Sericornis spilodera,4.4,Muscicapidae,Sericornis,spilodera
Acanthizidae,Smicrornis brevirostris,3,Muscicapidae,Smicrornis,brevirostris
Accipitridae,Accipiter badius,9,Accipitridae,Accipiter,badius
Accipitridae,Accipiter butleri,7.3,Accipitridae,Accipiter,putleri
Accipitridae,Accipiter cooperii,10.5,Accipitridae,Accipiter,cooperii
Accipitridae,Accipiter fasciatus,10.5,Accipitridae,Accipiter,fasciatus
Accipitridae,Accipiter francesiae,8.7,Accipitridae,Accipiter,francesii
Accipitridae,Accipiter gentilis,11.9,Accipitridae,Accipiter,gentilis
Accipitridae,Accipiter gularis,7.9,Accipitridae,Accipiter,gularis
Accipitridae,Accipiter madagascariensis,9.8,Accipitridae,Accipiter,madagascariensi
Accipitridae,Accipiter melanoleucus,10.8,Accipitridae,Accipiter,melanoleucus
Accipitridae,Accipiter minullus,6.9,Accipitridae,Accipiter,minullus
Accipitridae,Accipiter nisus,4.633333333333334,Accipitridae,Accipiter,bisas
Accipitridae,Accipiter novaehollandiae,10.8,Accipitridae,Accipiter,novaehollandie
Accipitridae,Accipiter soloensis,7.1,Accipitridae,Accipiter,soloensis
Accipitridae,Accipiter striatus,7.45,Accipitridae,Accipiter,striatus
Accipitridae,Accipiter tachiro,9.5,Accipitridae,Accipiter,taceiro
Accipitridae,Accipiter trivirgatus,11.8,Accipitridae,Accipiter,trivirgatus
Accipitridae,Accipiter virgatus,11.1,Accipitridae,Accipiter,virgatus
Accipitridae,Aquila audax,15,Accipitridae,Aquila,audax
Accipitridae,Aquila chrysaetos,15.633333333333333,Accipitridae,Aquila,chrysaetos
Accipitridae,Aquila pomarina,12.4,Accipitridae,Aquila,pomarina
Accipitridae,Aquila rapax,14.5,Accipitridae,Aquila,rapax
Accipitridae,Aviceda leuphotes,10.7,Accipitridae,Aviceda,leuphotes
Accipitridae,Aviceda subcristata,11.8,Accipitridae,Aviceda,subcristata
Accipitridae,Busarellus nigricollis,12.5,Accipitridae,Busarelius,nigricollis
Accipitridae,Butastur indicus,10.35,Accipitridae,Butastur,indicus
Accipitridae,Butastur rufipennis,10.1,Accipitridae,Butastur,rufipennis
Accipitridae,Butastur teesa,10.8,Accipitridae,Butastur,teesa
Accipitridae,Buteo buteo,12.2,Accipitridae,Buteo,buteo
Accipitridae,Buteo galapagoensis,11.3,Accipitridae,Buteo,galapagoensis
Accipitridae,Buteo jamaicensis,13.149999999999999,Accipitridae,Buteo,jamaicensis
Accipitridae,Buteo lagopus,14.5,Accipitridae,Buteo,lagopus
Accipitridae,Buteo lineatus,13.25,Accipitridae,Buteo,lineatus
Accipitridae,Buteo magnirostris,10.333333333333334,Accipitridae,Buteo,magnirostris
Accipitridae,Buteo nitidus,12,Accipitridae,Buteo,nitidus
Accipitridae,Buteo platypterus,10.5,Accipitridae,Buteo,platypterus
