lat,lon,type
11.4346,-85.5514,total
23.2487036,-106.449954,total
23.3051,-106.4938,total
25.50617936,-80.43085617,total
25.7162,-80.2498,total
26.8888,-82.0006,total
27.1192,-82.4443,total
27.4726593,-99.4748946,total
27.6223,-82.4018,total
27.649,-97.3935,total
27.7705,-97.3977,total
28.4474,-81.6084,total
28.53463,-99.88162,total
28.5736,-81.3532,total
28.6521,-81.1925,total
28.7111,-100.46128,total
28.85925,-100.52555,total
28.8872,-81.8684,total
29.0429,-95.4202,total
29.1043,-81.0023,total
29.21023,-99.77858,total
29.22198,-99.73889,total
29.301,-98.4772,total
29.315,-100.7621,total
29.34487,-99.983234,total
29.3465422,-99.13989529,total
29.4342,-98.6854,total
29.4796,-95.2112,total
29.4844,-95.1817,total
29.523398,-95.803043,total
29.52436,-98.58079,total
29.524703,-95.800443,total
29.5291458,-99.6894972,total
29.55279,-98.74542,total
29.5769118,-98.5677935,total
29.6327,-100.4387,total
29.6687,-95.4844,total
29.67675,-98.62011,total
29.6822,-95.4805,total
29.68731,-98.35259,total
29.7159,-95.466,total
29.7566,-95.7227,total
29.7632,-95.708,total
29.7722,-98.5903,total
29.8011,-98.0736,total
29.8022951,-98.3969175,total
29.8577,-98.1949,total
29.8941,-97.9303,total
29.9535,-93.9246,total
30.032047,-89.9615039,total
30.0634,-90.5494,total
30.1007767,-98.8202804,total
30.1062,-94.1861,total
30.1162,-97.8207,total
30.148453,-97.861088,total
30.149681,-98.0432689,total
30.19588,-98.83707,total
30.2,-97.6,total
30.2054,-97.808,total
30.218,-97.9638,total
30.2227,-98.7666,total
30.22784,-97.89896,total
30.2539,-97.7589,total
30.2627,-97.7467,total
30.296,-97.1958,total
30.2971,-97.1989,total
30.3537946,-93.1822415,total
30.358,-98.047,total
30.3691,-98.8662,total
30.37,-97.9437,total
30.386361,-98.860931,total
30.3901,-95.5568,total
30.4332,-87.2058,total
30.44139,-99.80474,total
30.4421,-97.6339,total
30.45075,-99.79952778,total
30.4855,-97.8598,total
30.493044,-98.832651,total
30.5624642,-97.7755493,total
30.577333,-97.40484,total
30.5888,-96.3065,total
30.8196,-88.2467,total
30.8513,-96.4881,total
30.8532,-88.0561,total
30.95447,-95.91512,total
31.053038,-97.640924,total
31.057,-97.9195,total
31.0736,-97.4727,total
31.0886,-97.7676,total
31.136,-97.5293,total
31.69629,-97.14195,total
31.88207,-91.14704,total
32.0351,-85.4738,total
32.04413,-106.62485,total
32.2993,-110.864,total
32.3224,-106.8041,total
32.4289,-90.0918,total
32.4327,-111.0722,total
32.43488,-97.661457,total
32.4474,-111.0779,total
32.4668,-106.8999,total
32.5232,-92.1604,total
32.5413804,-97.2668452,total
32.55141,-97.09196,total
32.5794,-97.0765,total
32.6218,-85.4727,total
32.7083,-97.4357,total
32.7244,-117.1292,total
32.725876,-114.61021,total
32.7354,-80.1801,total
32.7674,-117.1164,total
32.783939,-96.585562,total
32.8181,-80.0298,total
32.82625,-97.18712,total
32.833662,-97.272222,total
32.849779,-97.492761,total
32.9175,-117.2249,total
32.9471,-117.2371,total
33.0184,-116.811,total
33.0287,-96.6826,total
33.0721,-117.0751,total
33.087019,-96.7783653,total
33.1045,-87.5505,total
33.148493,-95.601458,total
33.1983,-96.6389,total
33.21220014,-96.58427877,total
33.2468,-86.7828,total
33.2716,-87.5362,total
33.3095,-84.5466,total
33.401,-111.6034,total
33.4023,-86.7019,total
33.482,-111.9076,total
33.4867,-81.7266,total
33.544351,-95.085369,total
33.6598,-117.3485,total
33.8163314,-95.6360293,total
33.8217,-84.261,total
33.8529,-86.8198,total
33.8693,-86.8415,total
33.882,-84.495,total
33.997,-117.7325,total
34.0015,-83.7071,total
34.0027,-118.25613,total
34.0246,-81.003,total
34.0413,-117.1841,total
34.0448,-84.2007,total
34.05,-118.3285,total
